division,round,instance,matchnum,red1,red2,red3,blue1,blue2,blue3,redscore,bluescore,redsit,bluesit,scored,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,19,2600B,2606A,,9421,2625B,,21,8,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,20,6181B,1615A,,2625C,2600A,,22,0,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,21,632A,2625A,,246A,4886A,,10,50,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,22,3010A,5447A,,4898B,6916E,,56,33,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,23,1615B,6916D,,44,798M,,36,77,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,24,9421,2865A,,2442A,6181A,,15,42,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,25,2606A,632B,,8813A,6769A,,17,30,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,26,2600C,2606B,,2442D,6442A,,22,43,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,27,6091A,1615A,,6769B,2600B,,45,23,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,28,2625B,4898A,,798A,6181B,,14,21,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,29,246,2442B,,2606C,2625,,43,22,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,30,2442C,632B,,5447A,2606B,,22,25,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,31,6769B,2600A,,2606A,1615B,,15,25,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,32,4886A,6091A,,3010A,4898A,,32,33,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,33,2442A,2442B,,2625A,1615A,,36,48,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,34,6181A,2625B,,798M,2625C,,13,40,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,35,6769A,2625,,6916E,2442C,,44,26,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,36,8813A,44,,2865A,246,,87,40,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,37,798A,4898B,,2600C,632A,,10,12,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,38,6442A,6916D,,246A,2600B,,21,20,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,39,2442D,2606C,,6181B,9421,,30,2,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,40,6181A,246,,6091A,2606B,,49,26,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,41,2625A,2600C,,2442C,2606A,,6,40,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,42,6442A,1615B,,3010A,1615A,,37,67,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,43,2600B,798M,,2600A,4898B,,30,7,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,44,632B,2442D,,44,798A,,41,68,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,45,6916E,632A,,2606C,2865A,,34,2,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,46,2625,5447A,,6916D,6181B,,61,33,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,47,6769A,4898A,,9421,2442B,,20,19,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,48,2442A,246A,,6769B,2625B,,49,26,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,49,2625C,8813A,,4886A,6442A,,23,38,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
